SHAP TOKEN IMPORTANCE ANALYSIS
==================================================

Analysis Date: 2025-04-03T01:41:34.397422
Model: gpt-3.5-turbo

ORIGINAL PROMPT:
--------------------------------------------------
Design an algorithm that creates a random password of 8 characters.

BASELINE MODEL OUTPUT (empty prompt):
--------------------------------------------------
Hello! How can I assist you today?

TOKEN SHAP VALUES:
--------------------------------------------------
TOKEN                SHAP VALUE      POSITION  
--------------------------------------------------
 an                  1.0000          1         
 algorithm           0.6533          2         
 characters          0.6506          11        
 password            0.6497          7         
Design               0.6097          0         
 that                0.6001          3         
 of                  0.5238          8         
 a                   0.5132          5         
8                    0.3314          10        
 creates             0.3136          4         
 random              0.2515          6         
[space]              0.0000          9         
.                    0.0000          12        
